ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK
AARU,,1,,20,176
AARU,,001B,,20,149
AARU,,2,,20,68
AARU,,4,,20,64
AARU,,DX2216,,20,61
AARU,,DX3147,,20,69
AARU,,DX4130,,20,92
AARU,,DX4145,,20,92
AARU,,F1B-30,,20,102
AARU,,F1B-33,,20,128
AARU,,F4-30,,20,91
BARBARA,,,207627,,
BARBARA,,,207627,,
BARBARA,,,207627,,
BARBARA,,,207627,,
BARBARA,,,207627,,
BA,,,207627,,
BARU,,1,,20,19
BARU,,001B,,20,38
BARU,,2,,20,10
BARU,,4,,20,0
BARU,,34,,20,12
BARU,,280,,20,8
BARU,,DX2216,,20,29
BARU,,DX3147,,20,24
BARU,,DX4130,,20,59
BARU,,DX4145,,20,32
BARU,,F1B-30,,20,28
BARU,,F1B-33,,20,41
BARU,,F4-30,,20,1
BECKY,,,207627,,
BECKY,,,207627,,
BECKY,,,207627,,
BECKY,,,207627,,
BECKY,,,207627,,
BECKY,,,207627,,
BECKY,,,207627,,
BECKY,,,207627,,
BE,,,207627,,
BONITA,,,207627,,
BONITA,,,207627,,
BONITA,,,207627,,
BONI,,,207627,,
,F237,,207627,19,8
,F237,,207627,19,10
,T1B-130,,207627,19,18
,T1B-130,,207627,19,119
,T1B-99J,,207627,,
,T1B-99J,,207627,,
,T1B-BG,,207627,,
,T1B-BG,,207627,,
,T1B-BG,,207627,,
,T1B-BG,,207627,,
,T1B-BG,,207627,,
,T1B-BG,,207627,,
,T1B-BG,,207627,,
1,T1B-BG,19,207627,35,
001B,T1B-BG,19,207627,35,1
2,T1B-BG,19,207627,14,1
4,T1B-BG,19,207627,13,1
34,T1B-BG,19,207627,0,1
44,T1B-BG,19,207627,7,1
51,T1B-BG,19,207627,2,1
280,T1B-BG,19,207627,6,1
F1B-27S,T1B-BG,19,207627,18,1
F1B-30,T1B-BG,19,207627,17,1
F1B-33,T1B-BG,19,207627,17,1
F1B-BG,T1B-BG,19,207627,69,1
DARU,,1,,20,27
DARU,,001B,,20,41
DARU,,2,,20,30
DARU,,4,,20,17
DARU,,34,,20,22
DARU,,280,,20,28
DARU,,DX2216,,20,12
DARU,,DX3147,,20,10
DARU,,DX4130,,20,0
DARU,,DX4145,,20,1
DARU,,DYTT3-68R,,20,31
DARU,,F1B-30,,20,25
DARU,,F1B-33,,20,8
DARU,,F4-30,,20,24
DIAMOND,,1,,106,76
DIAMOND,,001B,,106,45
DIAMOND,,2,,106,4
DIAMOND,,4,,106,14
DIAMOND,,613,,106,0
DIAMOND,,F1B-27S,,106,52
DIAMOND,,F1B-30,,106,88
DIAMOND,,F1B-33,,106,66
DIAMOND,,F1B-99J,,106,8
DIAMOND,,F237,,106,50
DIAMOND,,F4-27,,106,68
DIAMOND,,F4-30,,106,5
DIAMOND,,P27-613,,106,16
ESTHER,,1,,58,20
ESTHER,,001B,,58,29
ESTHER,,2,,58,0
ESTHER,,4,,58,6
ESTHER,,F1B-27S,,58,4
ESTHER,,F1B-30,,58,16
ESTHER,,F1B-33,,58,9
ESTHER,,F1B-BG,,58,21
ESTHER,,F4-30,,58,4
ESTHER,,P27-613,,58,0
ESTHER,,PT4-30-33,,58,31
ESTHER,,TT1B-27,,58,48
ESTHER,,TT1B-30,,58,32
ESTHER,,TT1B-33,,58,46
ESTHER,,TT1B-BG,,58,54
EVE HH,,1,,110,1
EVE HH,,001B,,110,19
EVE HH,,2,,110,16
EVE HH,,4,,110,12
EVE HH,,P1B-30,,110,18
EVE HH,,P27-613,,110,0
EVE HH,,P4-27,,110,5
EVE HH,,P4-30,,110,24
HARU,,1,,20,22
HARU,,001B,,20,9
HARU,,2,,20,37
HARU,,4,,20,11
HARU,,DX2216,,20,37
HARU,,DX3147,,20,32
HARU,,DX4130,,20,53
HARU,,DX4145,,20,48
HARU,,F1B-30,,20,32
HARU,,F1B-33,,20,92
HARU,,F4-30,,20,42
HARU,,TTOL1B-BLUE,,20,31
HARU,,TTOL1B-PINK,,20,21
,F4-30,,2.07627E+13,21,9
,F4-30,,2.07627E+13,21,85
,P1B-BG,,2.07627E+13,21,12
,P1B-BG,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
,T1B-30,,2.07627E+13,,
1,T1B-30,21,2.07627E+13,12,
001B,T1B-30,21,2.07627E+13,9,1
2,T1B-30,21,2.07627E+13,0,1
4,T1B-30,21,2.07627E+13,0,1
34,T1B-30,21,2.07627E+13,6,1
44,T1B-30,21,2.07627E+13,8,1
51,T1B-30,21,2.07627E+13,6,1
280,T1B-30,21,2.07627E+13,5,1
F1B-27S,T1B-30,21,2.07627E+13,14,1
F1B-30,T1B-30,21,2.07627E+13,13,1
F1B-33,T1B-30,21,2.07627E+13,13,1
F237,T1B-30,21,2.07627E+13,8,1
JADA,,1,,44,12
JADA,,001B,,44,12
JADA,,2,,44,11
JADA,,4,,44,11
JADA,,F1B-27S,,44,9
JADA,,F1B-30,,44,4
JADA,,F1B-33,,44,13
JADA,,F237,,44,1
JADA,,P27-613,,44,3
JADA,,TT1B-33,,44,12
JADA,,TT1B-350,,44,25
JANE H,,,2.07627E+15,,
JANE H,,,2.07627E+15,,
JANE H,,,2.07627E+15,,
JANE ,,,2.07627E+15,,
JENIF H,,,2.07627E+15,,
JENI,,,2.07627E+15,,
JULIE H,,,2.07627E+15,,
JULIE H,,,2.07627E+15,,
JULIE H,,,2.07627E+15,,
JULIE H II,,1,Inch,51,8
JULIE H II,,001B,Inch,51,4
JULIE H II,,2,Inch,51,5
JULIE H II,,4,Inch,51,9
JULIE H II,,F1B-27S,Inch,51,13
JULIE H II,,F1B-30,Inch,51,4
JULIE H II,,F1B-33,Inch,51,8
JULIE H II,,F1B-BG,Inch,51,0
JULIE H II,,F237,Inch,51,10
JULIE H II,,F4-27,Inch,51,2
JULIE H II,,F4-30,Inch,51,9
JULIE H II,,P14-27-22,Inch,51,1
JULIE H II,,P27-30-33,Inch,51,23
JULIE H II,,P27-613,Inch,51,9
JULIE H II,,PH27-16-24,Inch,51,4
JULIE H II,,PH33-27-613,Inch,51,61
JULIE H II,,TT1B-BG,Inch,51,18
,,,2.07627E+16,,
KASSIA,,1,Inch,66,18
KASSIA,,001B,Inch,66,21
KASSIA,,2,Inch,66,19
KASSIA,,4,Inch,66,16
KASSIA,,F1B_27,Inch,66,2
KASSIA,,F1B_27S,Inch,66,5
KASSIA,,F1B_30,Inch,66,8
KASSIA,,F1B_33,Inch,66,3
KASSIA,,F237,Inch,66,6
KASSIA,,F4_27,Inch,66,4
KASSIA,,F4_30,Inch,66,15
KASSIA,,P27_613,Inch,66,7
LACE-001,,1,,350,6
LACE-001,,001B,,350,6
LACE-001,,2,,350,3
LACE-001,,4,,350,9
LACE-001,,6,,350,6
LACE-001,,8,,350,11
LACE-001,,P10-16,,350,8
LACE-001,,P14-24,,350,13
LACE-001,,P1B-30,,350,6
LACE-001,,P27-613,,350,5
LACE-001,,P4-27,,350,10
LACE-001,,P4-30,,350,6
LACE-001,,P6-27,,350,10
LACE-002,,1,Inch,350,17
LACE-002,,001B,Inch,350,6
LACE-002,,2,Inch,350,9
LACE-002,,4,Inch,350,4
LACE-002,,6,Inch,350,9
LACE-002,,8,Inch,350,11
LACE-002,,P10-16,Inch,350,12
LACE-002,,P14-24,Inch,350,12
LACE-002,,P1B-30,Inch,350,7
LACE-002,,P27-613,Inch,350,10
LACE-002,,P4-27,Inch,350,11
LACE-002,,P4-30,Inch,350,8
LACE-002,,P6-27,Inch,350,12
LACE-003,,1,,100,26
LACE-003,,001B,,100,23
LACE-003,,2,,100,0
LACE-003,,4,,100,11
LACE-003,,6,,100,1
LACE-003,,P10-16,,100,1
LACE-003,,P14-24,,100,2
LACE-003,,P1B-30,,100,3
LACE-003,,P4-27,,100,1
LACE-003,,P4-30,,100,3
LACE-003,,P6-27,,100,1
LACE-004,,1,,150,2
LACE-004,,001B,,150,9
LACE-004,,2,,150,3
LACE-004,,4,,150,3
LACE-004,,6,,150,3
LACE-004,,8,,150,2
LACE-004,,P10-16,,150,8
LACE-004,,P14-24,,150,3
LACE-004,,P1B-30,,150,0
LACE-004,,P27-613,,150,4
LACE-004,,P4-27,,150,3
LACE-004,,P4-30,,150,1
LACE-004,,P6-27,,150,4
LACE-006,,1,Inch,150,0
LACE-006,,001B,Inch,150,2
LACE-006,,2,Inch,150,2
LACE-006,,4,Inch,150,1
LACE-006,,6,Inch,150,8
LACE-006,,8,Inch,150,9
LACE-006,,P10-16,Inch,150,8
LACE-006,,P14-24,Inch,150,6
LACE-006,,P1B-30,Inch,150,6
LACE-006,,P27-613,Inch,150,4
LACE-006,,P4-27,Inch,150,13
LACE-006,,P4-30,Inch,150,3
LACE-006,,P6-27,Inch,150,6
LACE-007,,1,,190,9
LACE-007,,001B,,190,8
LACE-007,,2,,190,5
LACE-007,,4,,190,41
LACE-007,,6,,190,1
LACE-007,,8,,190,3
LACE-007,,P10_16,,190,4
LACE-007,,P14_24,,190,0
LACE-007,,P1B_30,,190,7
LACE-007,,P27_613,,190,1
LACE-007,,P4_27,,190,12
LACE-007,,P4_30,,190,1
LACE-007,,P6_27,,190,0
LACE-008,,1,Inch,150,4
LACE-008,,001B,Inch,150,0
LACE-008,,2,Inch,150,0
LACE-008,,4,Inch,150,3
LACE-009,,1,,150,4
LACE-009,,001B,,150,0
LACE-009,,2,,150,33
LACE-009,,4,,150,39
LACE-009,,P1B_30,,150,17
LACE-009,,P4_27,,150,25
LACE-009,,P4_30,,150,11
LACE-010,,1,,70,55
LACE-010,,001B,,70,22
LACE-010,,2,,70,4
LACE-010,,4,,70,12
LACE-010,,P1B_30,,70,16
LACE-010,,P4_27,,70,16
LACE-010,,P4_30,,70,29
LACE-011,,1,Inch,80,1
LACE-011,,001B,Inch,80,-1
LACE-011,,2,Inch,80,0
LACE-011,,4,Inch,80,0
LACE-011,,P1B_30,Inch,80,5
LACE-011,,P4_27,Inch,80,15
LACE-011,,P4_30,Inch,80,0
LACE-012,,1,Inch,60,37
LACE-012,,001B,Inch,60,18
LACE-012,,2,Inch,60,5
LACE-012,,4,Inch,60,15
LINSEY,,1,Inch,21,10
LINSEY,,001B,Inch,21,6
LINSEY,,2,Inch,21,8
LINSEY,,4,Inch,21,6
LINSEY,,HL2_27S,Inch,21,10
LINSEY,,HL2_350,Inch,21,2
LINSEY,,HL2_613,Inch,21,39
LINSEY,,HL2_BG,Inch,21,24
LINSEY,,HL4_27,Inch,21,9
LINSEY,,TTL1B_30,Inch,21,5
LINSEY,,TTL1B_33,Inch,21,10
LISA,,1,Inch,35,1
LISA,,001B,Inch,35,-1
LISA,,2,Inch,35,0
LISA,,4,Inch,35,11
LISA,,F1B_30,Inch,35,0
LISA,,F1B_33,Inch,35,15
LISA,,F1B_99J,Inch,35,21
LISA,,F1B_BG,Inch,35,34
LISA,,F237,Inch,35,4
LISA,,F4_27,Inch,35,15
LISA,,P27_613,Inch,35,3
MARU,,1,Inch,20,-1
MARU,,001B,Inch,20,-3
MARU,,2,Inch,20,-1
MARU,,4,Inch,20,-1
MARU,,34,Inch,20,0
MARU,,280,Inch,20,0
MARU,,DX2216,Inch,20,11
MARU,,DX3147,Inch,20,0
MARU,,DX4130,Inch,20,7
MARU,,DX4145,Inch,20,13
MARU,,F1B_30,Inch,20,-2
MARU,,F1B_33,Inch,20,7
MARU,,F4_30,Inch,20,-1
NICOLE,,1,Inch,50,11
NICOLE,,001B,Inch,50,18
NICOLE,,2,Inch,50,14
NICOLE,,4,Inch,50,10
NICOLE,,F1B_27,Inch,50,4
NICOLE,,F1B_30,Inch,50,10
NICOLE,,F1B_33,Inch,50,6
NICOLE,,F1B_99J,Inch,50,36
NICOLE,,F1B_BG,Inch,50,1
NICOLE,,F237,Inch,50,9
NICOLE,,P27_613,Inch,50,6
NICOLE,,TT1B_27,Inch,50,4
NICOLE,,TT1B_33,Inch,50,9
NICOLE,,TT1B_BG,Inch,50,53
NICOLE,,32,Inch,500,500
